Model,Accuracy,Precision,Recall,F1-score,ROC-AUC,PR-AUC,Best Threshold Percentile,Threshold
Logistic Regression,0.9644176094730056,0.9772530120481928,0.9509695875442586,0.9639321663279736,0.9934443199798626,0.9945133469423948,,
Autoencoder (best F1 threshold),0.8932293803857202,0.943627321305751,0.8364246019649683,0.8867978470832453,0.9457862446681984,0.9495209387529204,95.0,0.3849302160601507
XGBoost (best F1 threshold),0.9921449088457706,0.9900077043401116,0.9943255094144957,0.9921619092185306,0.9996341545998818,0.9995625998143399,,0.4
