percentile,threshold,accuracy,precision_fraud,recall_fraud,f1_fraud,true_negatives,false_positives,false_negatives,true_positives
95.0,0.3849302160601507,0.8932293803857202,0.943627321305751,0.8364246019649683,0.8867978470832453,40517,2131,6976,35671
97.0,0.4826874945331195,0.8638607186822205,0.9620916589738245,0.7575679414730228,0.8476675237445558,41375,1273,10339,32308
98.0,0.5802569977189852,0.8319362213494343,0.9708621607237893,0.684409219874786,0.8028496376064145,41772,876,13459,29188
99.0,0.8154891932592041,0.7424585262911073,0.9805279301050284,0.4947358548080756,0.6576482506039117,42229,419,21548,21099
99.2,0.9096156798564987,0.712327803505481,0.9822132282458196,0.43248059652496074,0.6005372405372406,42314,334,24203,18444
99.5,1.1990764960513418,0.649662934521367,0.9849555504900843,0.3039604192557507,0.4645570527522936,42450,198,29684,12963
99.7,1.6427767586047348,0.5718154639779588,0.983578083057003,0.14605951180622317,0.25434871376071866,42544,104,36418,6229
99.8,2.0510592682536264,0.5400785509115423,0.9805961754780652,0.08176425070931133,0.15094257948618056,42579,69,39160,3487
99.9,2.92058891130093,0.5240283721202884,0.9871611982881597,0.04867868783267287,0.09278212290502794,42621,27,40571,2076
